trade_num,cycle,timestamp,market_question,condition_id,category,winning_side,winning_price,losing_price,spread,certainty,confidence_score,detection_reason,best_ask,best_bid,asks_count,bids_count,tick_size,is_maker,order_method,order_price,order_size,entry_detail,fill_status,filled_shares,fill_price,tx_hash,gross_edge,fee,loser_cost,gas_cost,net_pnl,cumulative_pnl,daily_pnl,recycle_success,usdc_recovered,adapter,neg_risk,error
1,1,2026-09-08 11:33:05,LoL: Invictus Gaming vs LGD Gaming (BO5) - LPL Playoffs,0xd23bf61367002265932ce5ae32052aac970c889da8518a2487b5e8a5f1e0693b,other,YES,0.9995,0.0005,0.9990000000000001,CertaintyLevel.WEAK,99.95,Price hint 0.9995 >= 0.999 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,partial,40.0,0.99,paper_tx_1788867185,0.40000000000000036,0.0,0.2,0.04,0.16000000000000034,0.16,0.16,True,40.0,CtfCollateralAdapter,False,
2,1,2026-09-08 11:33:05,LoL: Invictus Gaming vs LGD Gaming - Game 2 Winner,0x38bc01bb27a6161ec1c3faf41c68826c939b3e64385c608f23e92daa35245897,other,YES,0.9995,0.0005,0.9990000000000001,CertaintyLevel.WEAK,99.95,Price hint 0.9995 >= 0.999 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,filled,100.0,0.99,paper_tx_1788867185,1.0000000000000009,0.0,0.5,0.1,0.4000000000000009,0.56,0.56,True,100.0,CtfCollateralAdapter,False,
3,1,2026-09-08 11:33:05,Will the Fed decrease interest rates by 25 bps after the September 2026 meeting?,0xac02cbb049e46d6a3627c0fdf52fa554982a9025d45968207b362acb6ca4b830,finance,NO,0.9945,0.0055,0.9890000000000001,CertaintyLevel.WEAK,99.45,Price hint 0.9945 >= 0.99 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,partial,40.0,0.99,paper_tx_1788867185,0.40000000000000036,0.0,0.2,0.04,0.16000000000000034,0.72,0.72,True,40.0,NegRiskCtfCollateralAdapter,True,
4,1,2026-09-08 11:33:05,LoL: Invictus Gaming vs LGD Gaming - Game 1 Winner,0xd9939a4e16553228965d42077fc7c1cb5e3d57fc7f6d0d9a538f388fbd0009b8,other,YES,0.9995,0.0005,0.9990000000000001,CertaintyLevel.WEAK,99.95,Price hint 0.9995 >= 0.999 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,filled,100.0,0.99,paper_tx_1788867185,1.0000000000000009,0.0,0.5,0.1,0.4000000000000009,1.12,1.12,True,100.0,CtfCollateralAdapter,False,
5,1,2026-09-08 11:33:05,LoL: Invictus Gaming vs LGD Gaming - Game 3 Winner,0x6fa0932fe4dcdc7dc1025fe736807365fe639b32606b6c6d87f19dcffab9f6cb,other,YES,0.9995,0.0005,0.9990000000000001,CertaintyLevel.WEAK,99.95,Price hint 0.9995 >= 0.999 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,filled,100.0,0.99,paper_tx_1788867185,1.0000000000000009,0.0,0.5,0.1,0.4000000000000009,1.52,1.52,True,100.0,CtfCollateralAdapter,False,
6,2,2026-09-08 11:33:05,Will Glenn Youngkin win the 2028 US Presidential Election?,0xc4435df23facee8c4cd86090310c7835c2a0425646b2588b0a02e67fa42f444e,politics,NO,0.9985,0.0015,0.9970000000000001,CertaintyLevel.WEAK,99.85,Price hint 0.9985 >= 0.99 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,filled,100.0,0.99,paper_tx_1788867185,1.0000000000000009,0.0,0.5,0.1,0.4000000000000009,1.92,1.92,True,100.0,NegRiskCtfCollateralAdapter,True,
7,2,2026-09-08 11:33:05,Will Shakhtar Donetsk win the 2026-27 UEFA Champions League Championship?,0xefa17dee3af09f69f9ddf245b969aa4efbe7c71cdf06ee49d694408bc33e2ed2,sports,NO,0.9985,0.0015,0.9970000000000001,CertaintyLevel.WEAK,99.85,Price hint 0.9985 >= 0.99 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,partial,40.0,0.99,paper_tx_1788867185,0.40000000000000036,0.0,0.2,0.04,0.16000000000000034,2.08,2.08,True,40.0,NegRiskCtfCollateralAdapter,True,
8,2,2026-09-08 11:33:05,Will the Fed decrease interest rates by 50+ bps after the September 2026 meeting?,0x5e464d85eb49f22d876f3ed6168a7db5e2288e9ae1eb91effd2758e994676f86,finance,NO,0.9985,0.0015,0.9970000000000001,CertaintyLevel.WEAK,99.85,Price hint 0.9985 >= 0.99 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,partial,40.0,0.99,paper_tx_1788867185,0.40000000000000036,0.0,0.2,0.04,0.16000000000000034,2.24,2.24,True,40.0,NegRiskCtfCollateralAdapter,True,
9,2,2026-09-08 11:33:05,Counter-Strike: BIG vs BetBoom Team (BO3) - FISSURE PLAYGROUND Group A,0xf56534d7f2034aa458e4c0ab88e74cb29d982db160cf368b9c0f59a2622b6af8,other,NO,0.9995,0.0005,0.9990000000000001,CertaintyLevel.WEAK,99.95,Price hint 0.9995 >= 0.999 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,filled,100.0,0.99,paper_tx_1788867185,1.0000000000000009,0.0,0.5,0.1,0.4000000000000009,2.64,2.64,True,100.0,CtfCollateralAdapter,False,
10,2,2026-09-08 11:33:05,Will RB Leipzig win the 2026-27 UEFA Champions League Championship?,0x980a9758f2d181905130fbdd8de12c08b8ea89870c285a74b521fda7b8359061,sports,NO,0.9935,0.0065,0.9870000000000001,CertaintyLevel.WEAK,99.35,Price hint 0.9935 >= 0.99 (secondary only),,,0,0,0.01,True,GTC,0.99,100.0,maker bid at buy_price,partial,40.0,0.99,paper_tx_1788867185,0.40000000000000036,0.0,0.2,0.04,0.16000000000000034,2.8,2.8,True,40.0,NegRiskCtfCollateralAdapter,True,
